#
## ./fault_db/xfr_merge.out
## File generated by TOOL:	xfr	20.09-s007 on Jun 19, 2025 at 13:55:09 CEST
#

{ <list of fault nodes> } <fault_seed> <fault_type> <fault injection time> <finish time> <result>
":UUT:\Q_OUT_REG[9]\:Q"    0    SEU    405ns    1us    <ON_TIME,DETECTED:405ns>
":UUT:\SYMBOL_COUNTER_REG[0]\:Q"    0    SEU    81ns    1us    <ON_TIME,UNDETECTED>
":UUT:\SYMBOL_COUNTER_REG[10]\:Q"    0    SEU    137ns    1us    <ON_TIME,UNDETECTED>
":UUT:\SYMBOL_COUNTER_REG[11]\:Q"    0    SEU    321ns    1us    <ON_TIME,UNDETECTED>
":UUT:\SYMBOL_COUNTER_REG[12]\:Q"    0    SEU    78ns    1us    <ON_TIME,UNDETECTED>
":UUT:\SYMBOL_COUNTER_REG[13]\:Q"    0    SEU    313ns    1us    <ON_TIME,UNDETECTED>
":UUT:\SYMBOL_COUNTER_REG[14]\:Q"    0    SEU    327ns    1us    <ON_TIME,UNDETECTED>
":UUT:\SYMBOL_COUNTER_REG[15]\:Q"    0    SEU    427ns    1us    <ON_TIME,UNDETECTED>
":UUT:\SYMBOL_COUNTER_REG[16]\:Q"    0    SEU    76ns    1us    <ON_TIME,UNDETECTED>
":UUT:\SYMBOL_COUNTER_REG[17]\:Q"    0    SEU    317ns    1us    <ON_TIME,UNDETECTED>
":UUT:\SYMBOL_COUNTER_REG[18]\:Q"    0    SEU    238ns    1us    <ON_TIME,UNDETECTED>
":UUT:\SYMBOL_COUNTER_REG[19]\:Q"    0    SEU    294ns    1us    <ON_TIME,UNDETECTED>
":UUT:\SYMBOL_COUNTER_REG[1]\:Q"    0    SEU    302ns    1us    <ON_TIME,UNDETECTED>
":UUT:\SYMBOL_COUNTER_REG[20]\:Q"    0    SEU    131ns    1us    <ON_TIME,UNDETECTED>
":UUT:\SYMBOL_COUNTER_REG[21]\:Q"    0    SEU    261ns    1us    <ON_TIME,UNDETECTED>
":UUT:\SYMBOL_COUNTER_REG[22]\:Q"    0    SEU    334ns    1us    <ON_TIME,UNDETECTED>
":UUT:\SYMBOL_COUNTER_REG[23]\:Q"    0    SEU    145ns    1us    <ON_TIME,UNDETECTED>
":UUT:\SYMBOL_COUNTER_REG[24]\:Q"    0    SEU    131ns    1us    <ON_TIME,UNDETECTED>
":UUT:\SYMBOL_COUNTER_REG[25]\:Q"    0    SEU    120ns    1us    <ON_TIME,UNDETECTED>
":UUT:\SYMBOL_COUNTER_REG[26]\:Q"    0    SEU    142ns    1us    <ON_TIME,UNDETECTED>
":UUT:\SYMBOL_COUNTER_REG[27]\:Q"    0    SEU    358ns    1us    <ON_TIME,UNDETECTED>
":UUT:\SYMBOL_COUNTER_REG[28]\:Q"    0    SEU    367ns    1us    <ON_TIME,UNDETECTED>
":UUT:\SYMBOL_COUNTER_REG[29]\:Q"    0    SEU    73ns    1us    <ON_TIME,UNDETECTED>
":UUT:\SYMBOL_COUNTER_REG[2]\:Q"    0    SEU    448ns    1us    <ON_TIME,UNDETECTED>
":UUT:\SYMBOL_COUNTER_REG[30]\:Q"    0    SEU    111ns    1us    <ON_TIME,UNDETECTED>
":UUT:\SYMBOL_COUNTER_REG[31]\:Q"    0    SEU    79ns    1us    <ON_TIME,UNDETECTED>
":UUT:\SYMBOL_COUNTER_REG[3]\:Q"    0    SEU    350ns    1us    <ON_TIME,UNDETECTED>
":UUT:\SYMBOL_COUNTER_REG[4]\:Q"    0    SEU    299ns    1us    <ON_TIME,UNDETECTED>
":UUT:\SYMBOL_COUNTER_REG[5]\:Q"    0    SEU    339ns    1us    <ON_TIME,UNDETECTED>
":UUT:\SYMBOL_COUNTER_REG[6]\:Q"    0    SEU    87ns    1us    <ON_TIME,UNDETECTED>
":UUT:\SYMBOL_COUNTER_REG[7]\:Q"    0    SEU    72ns    1us    <ON_TIME,UNDETECTED>
":UUT:\SYMBOL_COUNTER_REG[8]\:Q"    0    SEU    384ns    1us    <ON_TIME,UNDETECTED>
":UUT:\SYMBOL_COUNTER_REG[9]\:Q"    0    SEU    117ns    1us    <ON_TIME,UNDETECTED>
