#
## ./fault_db2/xfr_merge.out
## File generated by TOOL:	xfr	20.09-s007 on Jun 16, 2025 at 21:37:58 CEST
#

{ <list of fault nodes> } <fault_seed> <fault_type> <fault injection time> <finish time> <result>
":UUT:\K_REG[2]\:CE"    0    SET+100ps    395ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[2]\:D"    0    SET+100ps    347ns    1us    <ON_TIME,UNDETECTED>
":UUT:\K_REG[2]\:IS_D_INVERTED_BIN"    0    SET+100ps    201ns    1us    <ON_TIME,UNDETECTED>
":UUT:LAST_FRAME_OBUF_INST:O"    0    SET+100ps    322ns    1us    <ON_TIME,UNDETECTED>
":UUT:LAST_FRAME_OBUF_INST:I"    0    SET+100ps    350ns    1us    <ON_TIME,UNDETECTED>
":UUT:LAST_FRAME_I_1:I3"    0    SET+100ps    340ns    1us    <ON_TIME,DETECTED:340100ps>
":UUT:LAST_FRAME_I_1:I2"    0    SET+100ps    192ns    1us    <ON_TIME,UNDETECTED>
":UUT:LAST_FRAME_I_1:I1"    0    SET+100ps    134ns    1us    <ON_TIME,UNDETECTED>
":UUT:LAST_FRAME_I_1:I0"    0    SET+100ps    156ns    1us    <ON_TIME,UNDETECTED>
":UUT:LAST_FRAME_I_1:O"    0    SET+100ps    135ns    1us    <ON_TIME,UNDETECTED>
":UUT:LAST_FRAME_I_2:I1"    0    SET+100ps    284ns    1us    <ON_TIME,UNDETECTED>
":UUT:LAST_FRAME_I_2:I0"    0    SET+100ps    435ns    1us    <ON_TIME,UNDETECTED>
":UUT:LAST_FRAME_I_2:O"    0    SET+100ps    297ns    1us    <ON_TIME,UNDETECTED>
":UUT:LAST_FRAME_REG:GLBLGSR"    0    SET+100ps    111ns    1us    <ON_TIME,UNDETECTED>
":UUT:LAST_FRAME_REG:Q"    0    SET+100ps    352ns    1us    <ON_TIME,UNDETECTED>
":UUT:LAST_FRAME_REG:Q_OUT"    0    SET+100ps    258ns    1us    <ON_TIME,UNDETECTED>
":UUT:LAST_FRAME_REG:INIT_BIN"    0    SET+100ps    57ns    1us    <ON_TIME,UNDETECTED>
":UUT:LAST_FRAME_REG:C"    0    SET+100ps    208ns    1us    <ON_TIME,UNDETECTED>
":UUT:LAST_FRAME_REG:IS_C_INVERTED_BIN"    0    SET+100ps    56ns    1us    <ON_TIME,UNDETECTED>
":UUT:LAST_FRAME_REG:R"    0    SET+100ps    143ns    1us    <ON_TIME,UNDETECTED>
":UUT:LAST_FRAME_REG:IS_R_INVERTED_BIN"    0    SET+100ps    109ns    1us    <ON_TIME,UNDETECTED>
":UUT:LAST_FRAME_REG:CE"    0    SET+100ps    219ns    1us    <ON_TIME,UNDETECTED>
":UUT:LAST_FRAME_REG:D"    0    SET+100ps    57ns    1us    <ON_TIME,UNDETECTED>
":UUT:LAST_FRAME_REG:IS_D_INVERTED_BIN"    0    SET+100ps    304ns    1us    <ON_TIME,UNDETECTED>
":UUT:\MOD_TYPE_IBUF[0]_INST\:O"    0    SET+100ps    351ns    1us    <ON_TIME,UNDETECTED>
":UUT:\MOD_TYPE_IBUF[0]_INST\:I"    0    SET+100ps    234ns    1us    <ON_TIME,UNDETECTED>
":UUT:\MOD_TYPE_IBUF[1]_INST\:O"    0    SET+100ps    353ns    1us    <ON_TIME,UNDETECTED>
":UUT:\MOD_TYPE_IBUF[1]_INST\:I"    0    SET+100ps    205ns    1us    <ON_TIME,UNDETECTED>
":UUT:\MOD_TYPE_IBUF[2]_INST\:O"    0    SET+100ps    188ns    1us    <ON_TIME,UNDETECTED>
":UUT:\MOD_TYPE_IBUF[2]_INST\:I"    0    SET+100ps    147ns    1us    <ON_TIME,UNDETECTED>
":UUT:PILOT_INSERTION_IBUF_INST:O"    0    SET+100ps    301ns    1us    <ON_TIME,UNDETECTED>
":UUT:PILOT_INSERTION_IBUF_INST:I"    0    SET+100ps    278ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[0]_I_1\:I5"    0    SET+100ps    236ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[0]_I_1\:I4"    0    SET+100ps    306ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[0]_I_1\:I3"    0    SET+100ps    440ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[0]_I_1\:I2"    0    SET+100ps    270ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[0]_I_1\:I1"    0    SET+100ps    215ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[0]_I_1\:I0"    0    SET+100ps    67ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[0]_I_1\:O"    0    SET+100ps    348ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[0]_I_2\:I5"    0    SET+100ps    231ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[0]_I_2\:I4"    0    SET+100ps    175ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[0]_I_2\:I3"    0    SET+100ps    146ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[0]_I_2\:I2"    0    SET+100ps    273ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[0]_I_2\:I1"    0    SET+100ps    313ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[0]_I_2\:I0"    0    SET+100ps    119ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[0]_I_2\:O"    0    SET+100ps    162ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[0]_I_3\:I4"    0    SET+100ps    204ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[0]_I_3\:I3"    0    SET+100ps    304ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[0]_I_3\:I2"    0    SET+100ps    61ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[0]_I_3\:I1"    0    SET+100ps    422ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[0]_I_3\:I0"    0    SET+100ps    381ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[0]_I_3\:O"    0    SET+100ps    311ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[10]_I_1\:I5"    0    SET+100ps    135ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[10]_I_1\:I4"    0    SET+100ps    294ns    1us    <ON_TIME,UNDETECTED>
":UUT:\Q_OUT[10]_I_1\:I3"    0    SET+100ps    227ns    1us    <ON_TIME,UNDETECTED>
